State,State Abbreviation,"2019 Age-adjusted Rate (per 100,000 population)",2019 Number of Deaths,"2018 Age-adjusted Rate (per 100,000 population)",2018 Number of Deaths,"2017 Age-adjusted Rate (per 100,000 population)",2017 Number of Deaths,"2016 Age-adjusted Rate (per 100,000 population)",2016 Number of Deaths,"2015 Age-adjusted Rate (per 100,000 population)",2015 Number of Deaths,"2014 Age-adjusted Rate (per 100,000 population)",2014 Number of Deaths,"2013 Age-adjusted Rate (per 100,000 population)",2013 Number of Deaths,2019 Poverty rate (percent of persons in poverty),Gini coefficient of income inequality,GDP per capita 2021,GDP (nominal in millions of USD) 2021,Urban population as a percentage of the total population in 2010,Population density per km²,Population,Land Area (km²)
Alabama,AL,16.3,768,16.6,775,18,835,16.2,756,15.7,736,15.2,723,12.7,598,15.5,0.4847,48475,243555,59,37.04339944,4858979,131169.9
Alaska,AK,17.8,132,14.6,110,20.2,147,16.8,128,16,122,16.8,124,14.4,105,10.1,0.4081,69336,54020,66,0.49963145,738432,1477953.4
Arizona,AZ,26.8,1907,23.8,1670,22.2,1532,20.3,1382,19,1274,18.2,1211,18.7,1222,13.5,0.4713,55954,400156,89.8,23.20836241,6828065,294207.1
Arkansas,AR,13.5,388,15.7,444,15.5,446,14,401,13.8,392,12.6,356,11.1,319,16.2,0.4719,47629,143438,56.2,22.09841953,2978204,134770
California,CA,15,6198,12.8,5348,11.7,4868,11.2,4654,11.3,4659,11.1,4521,11.1,4452,11.8,0.4899,83213,3290170,95,96.90942535,39144818,403932
Colorado,CO,18,1079,16.8,995,17.6,1015,16.6,942,15.4,869,16.3,899,15.5,846,9.3,0.4586,72212,416937,86.2,20.32762176,5456574,268431.5
Connecticut,CT,34.7,1214,30.7,1069,30.9,1072,27.4,971,22.1,800,17.6,623,16,582,10,0.4945,81712,294649,88,286.3385616,3590886,12540.7
Delaware,DE,48,435,43.8,401,37,338,30.8,282,22,198,20.9,189,18.7,166,11.3,0.4522,80087,79282,83.3,187.3915886,945934,5047.9
District of Columbia,DC,43.2,311,35.4,254,,,,,,,14.2,96,15,102,13.5,0.542,219550,151390,100,4254.607595,672228,158
Florida,FL,25.5,5268,22.8,4698,25.1,5088,23.7,4728,16.2,3228,13.2,2634,12.6,2474,12.7,0.4852,55664,1198913,91.2,145.9539874,20271272,138888.1
